event_id,start_frame,end_frame,duration_frames,peak_frame,peak_score,mean_score,severity,start_time_s,end_time_s
1,78,90,13,87,25.84576734095244,24.9693425619559,medium,3.12,3.6
2,129,142,14,132,26.087660162549042,25.109601806853668,medium,5.16,5.68
3,257,265,9,258,24.830486540444543,21.556508625252373,medium,10.28,10.6
4,270,276,7,275,26.64060729075084,25.284940268413852,medium,10.8,11.04
5,455,456,2,455,23.72873043492007,23.69928403570234,medium,18.2,18.24
6,572,584,13,581,25.84576734095244,24.9693425619559,medium,22.88,23.36
7,623,636,14,626,26.087660162549042,25.109601806853668,medium,24.92,25.44
8,751,759,9,752,24.830486540444543,21.556508625252373,medium,30.04,30.36
9,764,770,7,769,26.64060729075084,25.284940268413852,medium,30.56,30.8
10,949,950,2,949,23.72873043492007,23.69928403570234,medium,37.96,38.0
11,1066,1078,13,1075,25.84576734095244,24.9693425619559,medium,42.64,43.12
12,1117,1130,14,1120,26.087660162549042,25.109601806853668,medium,44.68,45.2
13,1245,1253,9,1246,24.830486540444543,21.556508625252373,medium,49.8,50.12
14,1258,1264,7,1263,26.64060729075084,25.284940268413852,medium,50.32,50.56
15,1443,1444,2,1443,23.72873043492007,23.69928403570234,medium,57.72,57.76
16,1560,1572,13,1569,25.84576734095244,24.9693425619559,medium,62.4,62.88
17,1611,1624,14,1614,26.087660162549042,25.109601806853668,medium,64.44,64.96
18,1739,1747,9,1740,24.830486540444543,21.556508625252373,medium,69.56,69.88
19,1752,1758,7,1757,26.64060729075084,25.284940268413852,medium,70.08,70.32
20,1937,1938,2,1937,23.72873043492007,23.69928403570234,medium,77.48,77.52
21,2054,2066,13,2063,25.84576734095244,24.9693425619559,medium,82.16,82.64
22,2105,2118,14,2108,26.087660162549042,25.109601806853668,medium,84.2,84.72
23,2233,2241,9,2234,24.830486540444543,21.556508625252373,medium,89.32,89.64
24,2246,2252,7,2251,26.64060729075084,25.284940268413852,medium,89.84,90.08
25,2431,2432,2,2431,23.72873043492007,23.69928403570234,medium,97.24,97.28
26,2548,2560,13,2557,25.84576734095244,24.9693425619559,medium,101.92,102.4
27,2599,2612,14,2602,26.087660162549042,25.109601806853668,medium,103.96,104.48
28,2727,2735,9,2728,24.830486540444543,21.556508625252373,medium,109.08,109.4
29,2740,2746,7,2745,26.64060729075084,25.284940268413852,medium,109.6,109.84
30,2925,2926,2,2925,23.72873043492007,23.69928403570234,medium,117.0,117.04
31,3042,3054,13,3051,25.84576734095244,24.9693425619559,medium,121.68,122.16
32,3093,3106,14,3096,26.087660162549042,25.109601806853668,medium,123.72,124.24
33,3221,3229,9,3222,24.830486540444543,21.556508625252373,medium,128.84,129.16
34,3234,3240,7,3239,26.64060729075084,25.284940268413852,medium,129.36,129.6
35,3419,3420,2,3419,23.72873043492007,23.69928403570234,medium,136.76,136.8
36,3536,3548,13,3545,25.84576734095244,24.9693425619559,medium,141.44,141.92
37,3587,3600,14,3590,26.087660162549042,25.109601806853668,medium,143.48,144.0
38,3715,3723,9,3716,24.830486540444543,21.556508625252373,medium,148.6,148.92
39,3728,3734,7,3733,26.64060729075084,25.284940268413852,medium,149.12,149.36
40,3913,3914,2,3913,23.72873043492007,23.69928403570234,medium,156.52,156.56
41,4030,4042,13,4039,25.84576734095244,24.9693425619559,medium,161.2,161.68
42,4081,4094,14,4084,26.087660162549042,25.109601806853668,medium,163.24,163.76
43,4209,4217,9,4210,24.830486540444543,21.556508625252373,medium,168.36,168.68
44,4222,4228,7,4227,26.64060729075084,25.284940268413852,medium,168.88,169.12
45,4407,4408,2,4407,23.72873043492007,23.69928403570234,medium,176.28,176.32
46,4524,4536,13,4533,25.84576734095244,24.9693425619559,medium,180.96,181.44
47,4575,4588,14,4578,26.087660162549042,25.109601806853668,medium,183.0,183.52
48,4703,4711,9,4704,24.830486540444543,21.556508625252373,medium,188.12,188.44
49,4716,4722,7,4721,26.64060729075084,25.284940268413852,medium,188.64,188.88
50,4901,4902,2,4901,23.72873043492007,23.69928403570234,medium,196.04,196.08
51,5018,5030,13,5027,25.84576734095244,24.9693425619559,medium,200.72,201.2
52,5069,5082,14,5072,26.087660162549042,25.109601806853668,medium,202.76,203.28
53,5197,5205,9,5198,24.830486540444543,21.556508625252373,medium,207.88,208.2
54,5210,5216,7,5215,26.64060729075084,25.284940268413852,medium,208.4,208.64
55,5395,5396,2,5395,23.72873043492007,23.69928403570234,medium,215.8,215.84
56,5512,5524,13,5521,25.84576734095244,24.9693425619559,medium,220.48,220.96
57,5563,5576,14,5566,26.087660162549042,25.109601806853668,medium,222.52,223.04
58,5691,5699,9,5692,24.830486540444543,21.556508625252373,medium,227.64,227.96
59,5704,5710,7,5709,26.64060729075084,25.284940268413852,medium,228.16,228.4
60,5889,5890,2,5889,23.72873043492007,23.69928403570234,medium,235.56,235.6
61,6006,6018,13,6015,25.84576734095244,24.9693425619559,medium,240.24,240.72
62,6057,6070,14,6060,26.087660162549042,25.109601806853668,medium,242.28,242.8
63,6185,6193,9,6186,24.830486540444543,21.556508625252373,medium,247.4,247.72
64,6198,6204,7,6203,26.64060729075084,25.284940268413852,medium,247.92,248.16
65,6383,6384,2,6383,23.72873043492007,23.69928403570234,medium,255.32,255.36
66,6500,6512,13,6509,25.84576734095244,24.9693425619559,medium,260.0,260.48
67,6551,6564,14,6554,26.087660162549042,25.109601806853668,medium,262.04,262.56
68,6679,6687,9,6680,24.830486540444543,21.556508625252373,medium,267.16,267.48
69,6692,6698,7,6697,26.64060729075084,25.284940268413852,medium,267.68,267.92
70,6877,6878,2,6877,23.72873043492007,23.69928403570234,medium,275.08,275.12
71,6994,7006,13,7003,25.84576734095244,24.9693425619559,medium,279.76,280.24
72,7045,7058,14,7048,26.087660162549042,25.109601806853668,medium,281.8,282.32
73,7173,7181,9,7174,24.830486540444543,21.556508625252373,medium,286.92,287.24
74,7186,7192,7,7191,26.64060729075084,25.284940268413852,medium,287.44,287.68
75,7371,7372,2,7371,23.72873043492007,23.69928403570234,medium,294.84,294.88
76,7488,7500,13,7497,25.84576734095244,24.9693425619559,medium,299.52,300.0
77,7539,7552,14,7542,26.087660162549042,25.109601806853668,medium,301.56,302.08
78,7667,7675,9,7668,24.830486540444543,21.556508625252373,medium,306.68,307.0
79,7680,7686,7,7685,26.64060729075084,25.284940268413852,medium,307.2,307.44
80,7865,7866,2,7865,23.72873043492007,23.69928403570234,medium,314.6,314.64
81,7982,7994,13,7991,25.84576734095244,24.9693425619559,medium,319.28,319.76
82,8033,8046,14,8036,26.087660162549042,25.109601806853668,medium,321.32,321.84
83,8161,8169,9,8162,24.830486540444543,21.556508625252373,medium,326.44,326.76
84,8174,8180,7,8179,26.64060729075084,25.284940268413852,medium,326.96,327.2
85,8359,8360,2,8359,23.72873043492007,23.69928403570234,medium,334.36,334.4
86,8476,8488,13,8485,25.84576734095244,24.9693425619559,medium,339.04,339.52
87,8527,8540,14,8530,26.087660162549042,25.109601806853668,medium,341.08,341.6
88,8655,8663,9,8656,24.830486540444543,21.556508625252373,medium,346.2,346.52
89,8668,8674,7,8673,26.64060729075084,25.284940268413852,medium,346.72,346.96
90,8853,8854,2,8853,23.72873043492007,23.69928403570234,medium,354.12,354.16
91,8970,8982,13,8979,25.84576734095244,24.9693425619559,medium,358.8,359.28
92,9021,9034,14,9024,26.087660162549042,25.109601806853668,medium,360.84,361.36
93,9149,9157,9,9150,24.830486540444543,21.556508625252373,medium,365.96,366.28
94,9162,9168,7,9167,26.64060729075084,25.284940268413852,medium,366.48,366.72
